Voltage	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent
	YSR-1-25A			YSR-1-25B			YSR-1-25C			YSR-1-25D			YSR-1-25E			YSR-1-25F			YSR-1-25G		
-0.25	3.88	-3.88	-1.50E-05	1.55E-07	9.29E-08	3.60E-13	16.585	-9.951	-3.86E-05	2.7482	-1.6489	-6.39E-06	5.0151	-3.0091	-1.17E-05	9.39E-08	-3.41E-08	-1.32E-13	22.147	-13.288	-5.15E-05
-0.2	3.236	-3.236	-1.26E-05	1.06E-07	6.38E-08	2.47E-13	13.818	-8.2907	-3.22E-05	2.2901	-1.3741	-5.33E-06	4.1782	-2.5069	-9.72E-06	9.62E-08	-2.79E-08	-1.08E-13	18.459	-11.076	-4.30E-05
-0.15	2.59	-2.59	-1.01E-05	1.92E-07	1.04E-07	4.05E-13	11.056	-6.6337	-2.57E-05	1.8328	-1.0997	-4.26E-06	3.343	-2.0058	-7.78E-06	1.21E-07	8.88E-09	3.46E-14	14.772	-8.8635	-3.44E-05
-0.1	1.942	-1.942	-7.54E-06	3.32E-07	1.99E-07	7.73E-13	8.2933	-4.976	-1.93E-05	1.3751	-0.82504	-3.20E-06	2.5077	-1.5046	-5.84E-06	1.16E-07	1.66E-08	6.44E-14	11.082	-6.649	-2.58E-05
-0.05	1.296	-1.296	-5.03E-06	1.71E-07	4.91E-08	1.90E-13	5.5272	-3.3163	-1.29E-05	0.91674	-0.55004	-2.13E-06	1.6714	-1.0028	-3.89E-06	1.28E-07	3.59E-08	1.39E-13	7.3853	-4.4312	-1.72E-05
0	0.6476	-0.6476	-2.51E-06	5.59E-07	3.35E-07	1.30E-12	2.7606	-1.6564	-6.43E-06	0.45801	-0.2748	-1.07E-06	0.8348	-0.50088	-1.94E-06	1.19E-07	4.81E-08	1.86E-13	3.6882	-2.2129	-8.58E-06
0	2.34E-05	2.34E-05	9.09E-11	3.35E-07	-7.02E-08	-2.72E-13	0.00031725	0.00019035	7.39E-10	3.11E-05	1.87E-05	7.23E-11	2.22E-05	1.33E-05	5.17E-11	1.38E-07	6.29E-08	2.44E-13	0.00013736	8.24E-05	3.20E-10
0.05	1.54E-05	1.54E-05	5.97E-11	1.52E-07	-5.37E-08	-2.09E-13	0.00030024	0.00018015	7.00E-10	5.96E-05	3.57E-05	1.38E-10	8.32E-06	4.95E-06	1.92E-11	6.32E-08	-3.72E-08	-1.44E-13	0.00011887	7.13E-05	2.77E-10
0.1	0.6506	0.6506	2.52E-06	3.69E-07	-8.07E-08	-3.13E-13	2.7734	1.6641	6.46E-06	0.46008	0.27605	1.07E-06	0.8387	0.50322	1.95E-06	1.17E-07	6.02E-08	2.33E-13	3.7085	2.2251	8.61E-06
0.15	1.3	1.3	5.04E-06	2.83E-07	1.70E-07	6.58E-13	5.5399	3.3239	1.29E-05	0.91919	0.55152	2.14E-06	1.6752	1.0051	3.90E-06	1.56E-07	9.34E-08	3.62E-13	7.4123	4.4474	1.73E-05
0.2	1.952	1.952	7.56E-06	6.74E-07	3.87E-07	1.50E-12	8.305	4.983	1.93E-05	1.3784	0.82702	3.21E-06	2.5113	1.5068	5.84E-06	1.96E-07	1.17E-07	4.55E-13	11.112	6.6672	2.59E-05
0.25	2.598	2.598	1.01E-05	4.78E-07	2.87E-07	1.11E-12	11.067	6.6402	2.58E-05	1.8371	1.1023	4.28E-06	3.3465	2.0079	7.79E-06	1.91E-07	1.15E-07	4.43E-13	14.806	8.8837	3.45E-05
0.3	3.242	3.242	1.26E-05	2.57E-07	1.54E-07	5.99E-13	13.827	8.2964	3.22E-05	2.296	1.3776	5.34E-06	4.1808	2.5085	9.72E-06	2.45E-07	1.47E-07	5.71E-13	18.499	11.099	4.31E-05
0.35	3.892	3.892	1.51E-05	1.50E-07	8.99E-08	3.48E-13	16.593	9.956	3.86E-05	2.7562	1.6537	6.42E-06	5.0172	3.0103	1.17E-05	2.58E-07	1.55E-07	6.01E-13	22.203	13.322	5.17E-05
0.4	4.538	4.538	1.76E-05	1.83E-07	1.10E-07	4.26E-13	19.36	11.616	4.51E-05	3.2165	1.9299	7.48E-06	5.8536	3.5122	1.36E-05	2.57E-07	1.10E-07	4.27E-13	25.909	15.545	6.03E-05
0.45	5.188	5.188	2.01E-05	2.24E-07	1.35E-07	5.22E-13	22.127	13.276	5.15E-05	3.6773	2.2064	8.56E-06	6.6901	4.0141	1.56E-05	4.19E-07	2.51E-07	9.75E-13	29.634	17.78	6.90E-05
0.5	5.834	5.834	2.26E-05	1.40E-07	8.38E-08	3.24E-13	24.89	14.934	5.79E-05	4.1378	2.4827	9.62E-06	7.5253	4.5152	1.75E-05	4.52E-07	2.71E-07	1.05E-12	33.345	20.007	7.76E-05
