3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
3.43E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,8.85,3.43E-05
3.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,13.14,7.884,3.06E-05
1.96E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.4035,5.0421,1.96E-05
8.58E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6889,2.2134,8.58E-06
8.63E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00037104,0.00022263,8.63E-10
-8.40E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6124,-2.1675,-8.40E-06
-1.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.2653,-4.3592,-1.69E-05
-2.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,10.957,-6.5742,-2.55E-05
-3.41E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.658,-8.7949,-3.41E-05
-4.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.356,-11.013,-4.27E-05
-5.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.058,-13.235,-5.13E-05
-6.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.77,-15.462,-6.00E-05
-6.86E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.49,-17.694,-6.86E-05
-7.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.195,-19.917,-7.73E-05
-8.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,36.918,-22.151,-8.59E-05
-8.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,36.932,-22.159,-8.59E-05
-7.74E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.237,-19.942,-7.74E-05
-6.88E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.541,-17.725,-6.88E-05
-6.01E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.846,-15.507,-6.01E-05
-5.15E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.147,-13.288,-5.15E-05
-4.30E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.459,-11.076,-4.30E-05
-3.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.772,-8.8635,-3.44E-05
-2.58E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.082,-6.649,-2.58E-05
-1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.3853,-4.4312,-1.72E-05
-8.58E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6882,-2.2129,-8.58E-06
3.20E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013736,8.24E-05,3.20E-10
2.77E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011887,7.13E-05,2.77E-10
8.61E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7085,2.2251,8.61E-06
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4123,4.4474,1.73E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.112,6.6672,2.59E-05
3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.806,8.8837,3.45E-05
4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.499,11.099,4.31E-05
5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.203,13.322,5.17E-05
6.03E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.909,15.545,6.03E-05
6.90E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.634,17.78,6.90E-05
7.76E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.345,20.007,7.76E-05
8.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.045,22.227,8.62E-05
8.65E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.17,22.302,8.65E-05
7.76E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.347,20.008,7.76E-05
6.90E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.638,17.783,6.90E-05
6.03E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.924,15.554,6.03E-05
5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.214,13.329,5.17E-05
4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.507,11.104,4.31E-05
3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,8.8857,3.45E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.113,6.6678,2.59E-05
1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4128,4.4477,1.72E-05
8.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7117,2.227,8.62E-06
6.46E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027754,0.00016653,6.46E-10
-1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5937,-2.7562,-1.07E-05
-2.16E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.2917,-5.575,-2.16E-05
-3.24E-05,,,,,,,,,,,,,,,,,,,,,,,,,,13.927,-8.3564,-3.24E-05
-4.29E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.447,-11.068,-4.29E-05
-4.30E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.493,-11.096,-4.30E-05
-5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.202,-13.321,-5.17E-05
-6.03E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.912,-15.547,-6.03E-05
-6.90E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.633,-17.78,-6.90E-05
-7.88E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.874,-20.324,-7.88E-05
-8.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.33,-22.398,-8.69E-05
-8.65E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.177,-22.306,-8.65E-05
-8.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.349,-22.409,-8.69E-05
-6.90E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.634,-17.781,-6.90E-05
-6.03E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.919,-15.551,-6.03E-05
-5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.208,-13.325,-5.17E-05
-4.30E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.498,-11.099,-4.30E-05
-3.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.801,-8.8807,-3.44E-05
-2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.102,-6.6614,-2.59E-05
-1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.3992,-4.4395,-1.72E-05
-8.61E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6967,-2.218,-8.61E-06
4.84E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00020847,0.00012508,4.84E-10
4.58E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019719,0.00011831,4.58E-10
8.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7152,2.2291,8.64E-06
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4195,4.4517,1.73E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.123,6.6736,2.59E-05
3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.822,8.8934,3.45E-05
4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.524,11.114,4.31E-05
5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.236,13.341,5.17E-05
6.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.95,15.57,6.04E-05
6.91E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.668,17.801,6.91E-05
7.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.374,20.024,7.77E-05
8.63E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.074,22.245,8.63E-05
8.63E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.074,22.244,8.63E-05
7.76E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.366,20.02,7.76E-05
6.90E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.66,17.796,6.90E-05
6.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.947,15.568,6.04E-05
5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.233,13.34,5.17E-05
4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.525,11.115,4.31E-05
3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.826,8.8955,3.45E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.125,6.6747,2.59E-05
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4203,4.4522,1.73E-05
8.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7154,2.2292,8.64E-06
5.84E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00025114,0.00015068,5.84E-10
-8.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6933,-2.216,-8.60E-06
-1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.402,-4.4412,-1.72E-05
-2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.107,-6.6642,-2.59E-05
-3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.809,-8.8853,-3.45E-05
-4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.51,-11.106,-4.31E-05
-5.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.223,-13.334,-5.17E-05
-6.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.95,-15.57,-6.04E-05
-8.68E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.31,-22.386,-8.68E-05
-9.78E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.027,-25.216,-9.78E-05
-0.00010869,,,,,,,,,,,,,,,,,,,,,,,,,,46.704,-28.023,-0.00010869
-0.00010869,,,,,,,,,,,,,,,,,,,,,,,,,,46.705,-28.023,-0.00010869
-9.78E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.043,-25.226,-9.78E-05
