8.57E-08,8.92E-08,-7.02E-08,-4.13E-08,8.34E-08,4.95E-08,6.36E-08,9.00E-08,7.87E-08,6.84E-08,4.97E-08,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.70E-07,8.57E-08,3.32E-13
7.19E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-07,7.19E-08,2.79E-13
5.22E-08,,,,,,,,,,,,,,,,,,,,,,,,,,8.80E-08,5.22E-08,2.03E-13
-9.10E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.52E-07,-9.10E-08,-3.53E-13
-9.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.56E-07,-9.38E-08,-3.64E-13
-9.76E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.63E-07,-9.76E-08,-3.78E-13
-1.27E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.11E-07,-1.27E-07,-4.91E-13
-1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.67E-07,-1.00E-07,-3.89E-13
-1.21E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.02E-07,-1.21E-07,-4.70E-13
-1.28E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.14E-07,-1.28E-07,-4.97E-13
-1.67E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.78E-07,-1.67E-07,-6.48E-13
-1.24E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.07E-07,-1.24E-07,-4.81E-13
-1.01E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.69E-07,-1.01E-07,-3.93E-13
-1.25E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.08E-07,-1.25E-07,-4.83E-13
-1.34E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.23E-07,-1.34E-07,-5.20E-13
-1.74E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.89E-07,-1.74E-07,-6.72E-13
-1.43E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.38E-07,-1.43E-07,-5.55E-13
-1.28E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.13E-07,-1.28E-07,-4.96E-13
-1.74E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.90E-07,-1.74E-07,-6.74E-13
-1.44E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.40E-07,-1.44E-07,-5.60E-13
-1.42E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.36E-07,-1.42E-07,-5.50E-13
-1.19E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.98E-07,-1.19E-07,-4.62E-13
-1.33E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.21E-07,-1.33E-07,-5.15E-13
-4.23E-08,,,,,,,,,,,,,,,,,,,,,,,,,,7.46E-08,-4.23E-08,-1.64E-13
4.46E-08,,,,,,,,,,,,,,,,,,,,,,,,,,7.44E-08,4.46E-08,1.73E-13
