1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
3.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,3.23E-11
3.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,3.27E-11
4.61E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,4.61E-11
2.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,2.35E-11
8.72E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,8.72E-12
2.22E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,2.22E-11
2.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,5.18E+00,2.90E-11
3.58E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,3.58E-11
2.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.35E-11
2.73E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,2.73E-11
2.63E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,2.59E+00,2.63E-11
2.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.52E-11
4.48E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,4.48E-11
4.61E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.50E-01,6.50E-01,4.61E-11
2.77E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.77E-11
2.46E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.47E-01,-6.47E-01,2.46E-11
2.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.40E-11
2.45E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.45E-11
2.60E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.60E-11
2.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.39E-11
1.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,1.90E-11
2.26E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,2.26E-11
2.25E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.17E+00,-5.17E+00,2.25E-11
2.34E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.81E+00,-5.81E+00,2.34E-11
2.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,2.27E-11
8.25E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,8.25E-12
8.29E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.81E+00,-5.81E+00,8.29E-12
9.68E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.17E+00,-5.17E+00,9.68E-12
9.44E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,9.44E-12
1.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,1.55E-11
