4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
-9.03E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.87E-07,-2.32E-07,-9.03E-13
-1.17E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.04E-07,-3.03E-07,-1.17E-12
-1.22E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.23E-07,-3.14E-07,-1.22E-12
-1.22E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.23E-07,-3.14E-07,-1.22E-12
-1.47E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.34E-07,-3.80E-07,-1.47E-12
-1.30E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.56E-07,-3.34E-07,-1.30E-12
-1.38E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.94E-07,-3.57E-07,-1.38E-12
-1.48E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.38E-07,-3.83E-07,-1.48E-12
-1.43E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.15E-07,-3.69E-07,-1.43E-12
-1.05E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.50E-07,-2.70E-07,-1.05E-12
-4.70E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.02E-07,-1.21E-07,-4.70E-13
-3.31E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.42E-07,-8.51E-08,-3.31E-13
-2.37E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E-07,-6.12E-08,-2.37E-13
-1.32E-13,,,,,,,,,,,,,,,,,,,,,,,,,,9.39E-08,-3.41E-08,-1.32E-13
-1.08E-13,,,,,,,,,,,,,,,,,,,,,,,,,,9.62E-08,-2.79E-08,-1.08E-13
3.46E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.21E-07,8.88E-09,3.46E-14
6.44E-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.16E-07,1.66E-08,6.44E-14
1.39E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.28E-07,3.59E-08,1.39E-13
1.86E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.19E-07,4.81E-08,1.86E-13
2.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.38E-07,6.29E-08,2.44E-13
-1.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,6.32E-08,-3.72E-08,-1.44E-13
2.33E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E-07,6.02E-08,2.33E-13
3.62E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.56E-07,9.34E-08,3.62E-13
4.55E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.96E-07,1.17E-07,4.55E-13
4.43E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.91E-07,1.15E-07,4.43E-13
5.71E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.45E-07,1.47E-07,5.71E-13
6.01E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.58E-07,1.55E-07,6.01E-13
4.27E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.57E-07,1.10E-07,4.27E-13
9.75E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.19E-07,2.51E-07,9.75E-13
1.05E-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.52E-07,2.71E-07,1.05E-12
8.54E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.67E-07,2.20E-07,8.54E-13
3.47E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E-07,8.95E-08,3.47E-13
